flow_id,iat,packet_length,direction,icmp_type
354,0.00705409049987793,110,1,0
355,0.0,110,0,8
355,0.004955768585205078,110,1,0
356,0.0,110,0,8
356,0.00548100471496582,110,1,0
357,0.0,110,0,8
357,0.005101442337036133,110,1,0
358,0.0,110,0,8
358,0.004982709884643555,110,1,0
359,0.0,110,0,8
359,0.004820346832275391,110,1,0
360,0.0,110,0,8
360,0.004807949066162109,110,1,0
361,0.0,110,0,8
361,0.004841327667236328,110,1,0
362,0.0,110,0,8
362,0.004926204681396484,110,1,0
363,0.0,110,0,8
363,0.006211519241333008,110,1,0
364,0.0,110,0,8
364,0.005654096603393555,110,1,0
365,0.0,110,0,8
365,0.005045175552368164,110,1,0
366,0.0,110,0,8
366,0.005095958709716797,110,1,0
367,0.0,110,0,8
367,0.005173683166503906,110,1,0
368,0.0,110,0,8
368,0.007386445999145508,110,1,0
369,0.0,110,0,8
369,0.004857540130615234,110,1,0
370,0.0,110,0,8
370,0.0048329830169677734,110,1,0
371,0.0,110,0,8
371,0.004769086837768555,110,1,0
372,0.0,110,0,8
372,0.005107879638671875,110,1,0
373,0.0,110,0,8
373,0.0048105716705322266,110,1,0
374,0.0,110,0,8
374,0.005138397216796875,110,1,0
375,0.0,110,0,8
375,0.004826068878173828,110,1,0
376,0.0,110,0,8
376,0.0047075748443603516,110,1,0
377,0.0,110,0,8
377,0.005307435989379883,110,1,0
378,0.0,110,0,8
378,0.008745431900024414,110,1,0
379,0.0,110,0,8
379,0.0051877498626708984,110,1,0
380,0.0,110,0,8
380,0.005166053771972656,110,1,0
381,0.0,110,0,8
381,0.004860401153564453,110,1,0
382,0.0,110,0,8
382,0.004796266555786133,110,1,0
383,0.0,110,0,8
383,0.005046844482421875,110,1,0
384,0.0,110,0,8
384,0.004823923110961914,110,1,0
385,0.0,110,0,8
385,0.004987239837646484,110,1,0
386,0.0,110,0,8
386,0.0060787200927734375,110,1,0
387,0.0,110,0,8
387,0.004793882369995117,110,1,0
388,0.0,110,0,8
388,0.005063056945800781,110,1,0
389,0.0,110,0,8
389,0.004843950271606445,110,1,0
390,0.0,110,0,8
390,0.005047321319580078,110,1,0
391,0.0,110,0,8
391,0.004664897918701172,110,1,0
392,0.0,110,0,8
392,0.004782438278198242,110,1,0
393,0.0,110,0,8
393,0.004783153533935547,110,1,0
394,0.0,110,0,8
394,0.004767417907714844,110,1,0
395,0.0,110,0,8
395,0.004801750183105469,110,1,0
396,0.0,110,0,8
396,0.004681587219238281,110,1,0
397,0.0,110,0,8
397,0.004753589630126953,110,1,0
398,0.0,110,0,8
398,0.004786014556884766,110,1,0
399,0.0,110,0,8
399,0.004770517349243164,110,1,0
400,0.0,110,0,8
400,0.0048792362213134766,110,1,0
401,0.0,110,0,8
401,0.004789113998413086,110,1,0
402,0.0,110,0,8
402,0.0047130584716796875,110,1,0
403,0.0,110,0,8
403,0.004969358444213867,110,1,0
